100000000,poly_A Site 0 SiteType L_a
100000001,poly_A Site 1 SiteType L_a
100000002,poly_A Site 2 SiteType A
100000003,poly_A Site 3 SiteType L_a
100000004,poly_A Site 4 SiteType L_a
100000005,poly_A Site 5 SiteType L_a
100000006,poly_A Site 6 SiteType A
100000007,poly_A Site 7 SiteType L_a
100000008,poly_A Site 8 SiteType L_a
100000009,poly_A Site 9 SiteType L_a
100000010,poly_A Site 10 SiteType A
100000011,poly_A Site 11 SiteType L_a
100000012,poly_A Site 12 SiteType L_a
100000013,poly_A Site 13 SiteType L_a
100000014,poly_A Site 14 SiteType A
100000015,poly_A Site 15 SiteType L_a
100000016,poly_A Site 16 SiteType L_a
100000017,poly_A Site 17 SiteType L_a
100000018,poly_A Site 18 SiteType A
100000019,poly_A Site 19 SiteType L_a
100000020,poly_A Site 20 SiteType L_a
100000021,poly_A Site 21 SiteType L_a
100000022,poly_A Site 22 SiteType A
100000023,poly_A Site 23 SiteType L_a
100000024,poly_A Site 24 SiteType L_a
100000025,poly_A Site 25 SiteType L_a
100000026,poly_A Site 26 SiteType A
100000027,poly_A Site 27 SiteType L_a
100000028,poly_A Site 28 SiteType L_a
100000029,poly_A Site 29 SiteType L_a
100000030,poly_A Site 30 SiteType A
100000031,poly_A Site 31 SiteType L_a
100000032,poly_A Site 32 SiteType L_a
100000033,poly_A Site 33 SiteType L_a
100000034,poly_A Site 34 SiteType A
100000035,poly_A Site 35 SiteType L_a
100000036,poly_A Site 36 SiteType L_a
100000037,poly_A Site 37 SiteType L_a
100000038,poly_A Site 38 SiteType A
100000039,poly_A Site 39 SiteType L_a
100010000,poly_A Site 0 SiteType L_a
100010001,poly_A Site 1 SiteType L_a
100010002,poly_A Site 2 SiteType A
100010003,poly_A Site 3 SiteType L_a
100010004,poly_A Site 4 SiteType L_a
100010005,poly_A Site 5 SiteType L_a
100010006,poly_A Site 6 SiteType A
100010007,poly_A Site 7 SiteType L_a
100010008,poly_A Site 8 SiteType L_a
100010009,poly_A Site 9 SiteType L_a
100010010,poly_A Site 10 SiteType A
100010011,poly_A Site 11 SiteType L_a
100010012,poly_A Site 12 SiteType L_a
100010013,poly_A Site 13 SiteType L_a
100010014,poly_A Site 14 SiteType A
100010015,poly_A Site 15 SiteType L_a
100010016,poly_A Site 16 SiteType L_a
100010017,poly_A Site 17 SiteType L_a
100010018,poly_A Site 18 SiteType A
100010019,poly_A Site 19 SiteType L_a
100010020,poly_A Site 20 SiteType L_a
100010021,poly_A Site 21 SiteType L_a
100010022,poly_A Site 22 SiteType A
100010023,poly_A Site 23 SiteType L_a
100010024,poly_A Site 24 SiteType L_a
100010025,poly_A Site 25 SiteType L_a
100010026,poly_A Site 26 SiteType A
100010027,poly_A Site 27 SiteType L_a
100010028,poly_A Site 28 SiteType L_a
100010029,poly_A Site 29 SiteType L_a
100010030,poly_A Site 30 SiteType A
100010031,poly_A Site 31 SiteType L_a
100010032,poly_A Site 32 SiteType L_a
100010033,poly_A Site 33 SiteType L_a
100010034,poly_A Site 34 SiteType A
100010035,poly_A Site 35 SiteType L_a
100010036,poly_A Site 36 SiteType L_a
100010037,poly_A Site 37 SiteType L_a
100010038,poly_A Site 38 SiteType A
100010039,poly_A Site 39 SiteType L_a
